Code_base;Base;Ref publi;Code_publi;Exp;Trait;N°Refexp;N°trait_publi;Exp_fact;Description_trait;Nom_trait;Espece;Code_espece;MSI;pH;C2/C3;C2;C3;R_NDF;C_MOdeg;NDFF;%conc
1;Nature;Huhtanen1988;13;1;1;131;1311;1311;barley;BU;Steer;2;5,2;6,33;4,2;65,2;15,5;372;377;261;53
1;Nature;Huhtanen1988;13;1;2;131;1312;1311;barley + molasses;BM;Steer;2;5,9;6,21;3,6;62;17,1;334;404;259;54
1;Nature;Huhtanen1988;13;1;3;131;1313;1311;sugar beet pulp;SU;Steer;2;3,9;6,4;3,9;67,6;17,5;496;281;262;53
1;Nature;Huhtanen1988;13;1;4;131;1314;1311;sugar beet pulp + molasses;SM;Steer;2;4,7;6,45;3,5;65,5;18,5;416;340;259;54
1;Nature;MCCARTHY1989;20;1;1;201;2011;2011;corn and fish meal;C_FM;Dairy_cow;1;23,3;5,96;2,6;61,6;24;301;279;245;55
1;Nature;MCCARTHY1989;20;1;3;201;2013;2011;barley and fish meal;B_FM;Dairy_cow;1;20,5;5,62;1,7;56,4;33;353;378;245;55
1;Nature;MCCARTHY1989;20;1;2;201;2012;2012;corn and soybean meal;C_SBM;Dairy_cow;1;24,2;5,72;2;58,4;28,8;307;297;245;55
1;Nature;MCCARTHY1989;20;1;4;201;2014;2012;barley and soybean meal;B_SBM;Dairy_cow;1;20,9;5,73;2;58,3;29;354;383;245;55
1;Nature;ROBINSON1986;25;2;1;252;2521;2521;8% starch;PelConc 8;Dairy_cow;1;13,2;6,33;3,7;64,2;17,5;492;328;172;67
1;Nature;ROBINSON1986;25;2;2;252;2522;2521;14 % starch;Pelconc 14;Dairy_cow;1;13,1;6,42;3,6;62,7;17,5;446;353;172;67
1;Nature;ROBINSON1986;25;2;3;252;2523;2521;20% starch;Pelconc 20;Dairy_cow;1;13,1;6,32;3,6;62,3;17,4;400;378;172;67
1;Nature;ROBINSON1986;25;2;4;252;2524;2521;26% starch;Pelconc 26;Dairy_cow;1;13;6,33;3,6;61,9;17,1;355;403;172;67
1;Nature;ROBINSON1986;25;2;5;252;2525;2521;32% starch;Pelconc 32;Dairy_cow;1;13;6,33;3,3;60,8;18,7;309;428;172;67
1;Nature;Krause2002;56;1;1;561;5611;5611;high moisture corn fine silage;hmcfs;Dairy_cow;1;23,4;5,72;1,5;49,4;32,6;236;398;144;61
1;Nature;Krause2002;56;1;2;561;5612;5612;high moisture corn coarse silage;hmccs;Dairy_cow;1;24,1;5,98;1,8;52,5;29,1;236;398;144;61
1;Nature;Krause2002;56;1;3;561;5613;5611;dry corn fine silage;dcfs;Dairy_cow;1;24,7;5,9;2,1;54,9;26,2;236;327;144;61
1;Nature;Krause2002;56;1;4;561;5614;5612;dry corn coarse silage;dccs;Dairy_cow;1;25,3;6,07;2,4;57,2;24,2;236;327;144;61
1;Nature;BATAJOO1994;60;1;1;601;6011;6011;36% maïs grain;NFC42;Dairy_cow;1;27,6;6,15;3;60,9;20,2;297;276;224;53
1;Nature;BATAJOO1994;60;1;2;601;6012;6011;30% maïs grain;NFC36;Dairy_cow;1;27,2;6,15;3,1;61,4;19,5;330;269;225;52
1;Nature;BATAJOO1994;60;1;3;601;6013;6011;21% maïs grain;NFC30;Dairy_cow;1;26,7;6,2;3,1;61,7;19,6;383;251;225;52
1;Nature;BATAJOO1994;60;1;4;601;6014;6011;14% maïs grain;NFC24;Dairy_cow;1;25,8;6,23;3,2;62,6;19,3;440;233;224;53
1;Nature;Südekum1994;97;1;1;971;9711;9711;oats;O;Dairy_cow;1;15,7;6,38;;;;514;377;217;65
1;Nature;Südekum1994;97;1;2;971;9712;9711;rye;R;Dairy_cow;1;14,7;6,42;;;;469;406;242;61
1;Nature;Südekum1994;97;1;3;971;9713;9711;barley;B;Dairy_cow;1;15,3;6,36;;;;499;401;226;63
