publication;genetique;alimentation;pldeb;reprise
89;1;1;27;35,16666667
89;1;2;25,9;35,16666667
89;1;3;29,6;35,16666667
117;1;1;27,5;31,5
117;1;2;30,5;34,4
173;1;1;37,3;31,4
173;1;2;38,5;38,8
193;1;1;18,44899856;36
193;1;2;21,52709928;33
193;1;3;24,02879133;28
193;2;1;16,34726355;30
193;2;2;19,21362231;27
193;2;3;20,83697733;25
231;1;1;36,8;42,8
231;1;2;36,3;21,5
231;1;3;37,8;42,2
231;1;4;38,4;32,6
307;1;1;34,8;21
307;1;2;33,3;24
311;1;1;39,6;36,6
311;1;2;39,1;36,3
311;1;3;37,8;35,4
425;1;1;28;28
425;2;1;32;33
425;1;2;34;34
425;2;2;38;39
427;1;1;27,8;32
427;1;2;31,7;33
439;1;1;30,1;42,5
439;1;2;34;34,5
439;1;3;37,7;36,5
439;2;1;27;39,5
439;2;2;30,9;31,5
439;2;3;34,6;33,5
471;1;1;39,7;40
471;1;2;35,7;40
471;2;1;42,5;38
471;2;2;38,5;38
